Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Madden NFL 16,XOne,2015,Sports,Electronic Arts,2.09,0.08,0,0.26,2.43,84,23,6.1,125
Riven: The Sequel to Myst,PC,1997,Adventure,Red Or,1.52,0.82,0,0.1,2.43,83,12,7,162
uDraw Studio,Wii,2010,Misc,THQ,1.65,0.57,0,0.2,2.42,71,9,7,162
Sonic Adventure,DC,1998,Platform,Sega,1.26,0.61,0.46,0.08,2.42,68,26,7,162
Ice Hockey,NES,1988,Sports,Nintendo,1.27,0.32,0.78,0.05,2.42,68,26,7,162
Tom Clancys Rainbow Six: Vegas 2,X360,2008,Shooter,Ubisoft,1.56,0.6,0.02,0.23,2.42,82,66,7.8,176
Tomb Raider (2013),PS3,2013,Action,Square Enix,0.6,1.26,0.08,0.48,2.42,68,26,7,162
Need for Speed Carbon: Own the City,PSP,2006,Racing,Electronic Arts,0.87,0.97,0,0.58,2.42,73,14,7.9,39
Dragon Ball Z: Budokai 2,PS2,2003,Fighting,Atari,1.63,0.22,0.51,0.06,2.41,66,28,8.2,92
pro evolution soccer 2011,PS3,2010,Sports,Konami Digital Entertainment,0.29,1.17,0.54,0.41,2.41,77,40,6.8,85
ATV Offroad Fury,PS2,2001,Racing,Sony Computer Entertainment,2.07,0.26,0,0.08,2.41,82,16,8.4,53
Dino Crisis,PS,1998,Action,Capcom,0.81,0.76,0.7,0.14,2.41,68,26,7,162
Need for Speed: ProStreet,PS2,2007,Racing,Electronic Arts,0.69,0,0.04,1.68,2.41,62,11,6.2,34
Halo: Combat Evolved Anniversary,X360,2011,Shooter,Microsoft Game Studios,1.44,0.7,0.04,0.22,2.4,82,73,8.1,488
Tetris Plus,PS,1996,Puzzle,JVC,2.1,0.24,0,0.07,2.4,68,26,7,162
Pro Wrestling,NES,1987,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4,68,26,7,162
Theme Hospital,PC,1997,Strategy,Electronic Arts,2.3,0.1,0,0,2.4,68,26,9,92
Froggers Adventures: Temple of the Frog,GBA,2001,Adventure,Konami Digital Entertainment,2.15,0.18,0,0.07,2.39,73,4,7,162
Madden NFL 11,PS3,2010,Sports,Electronic Arts,2.05,0.15,0,0.2,2.39,83,36,6.1,68
Monopoly,PC,1994,Misc,Hasbro Interactive,1.49,0.81,0,0.1,2.39,68,26,7,162
NBA 2K17,PS4,2016,Sports,Take-Two Interactive,1.57,0.37,0.02,0.43,2.39,88,47,6.6,174
Guitar Hero,PS2,2005,Misc,RedOctane,1.67,0.61,0.03,0.07,2.38,91,65,8.7,173
WCW/nWo Revenge,N64,1998,Fighting,THQ,1.94,0.39,0.03,0.02,2.38,68,26,7,162
The Legend of Zelda: Majoras Mask 3D,3DS,2015,Action,Nintendo,1.16,0.57,0.47,0.17,2.38,89,82,9,483
Far Cry: Primal,PS4,2016,Action,Ubisoft,0.63,1.32,0.07,0.37,2.38,76,91,6.3,648
Yu-Gi-Oh! The Duelists of the Roses,PS2,2001,Misc,Konami Digital Entertainment,1.16,0.91,0,0.3,2.38,68,26,7,162
Dead Island,X360,2011,Action,Deep Silver,1.48,0.69,0,0.2,2.37,71,75,6.9,632
Half-Life 2,PC,2004,Shooter,Vivendi Games,2.28,0.02,0.08,0,2.37,96,81,9.2,8702
The Incredibles,PS2,2004,Action,THQ,0.96,1.08,0.04,0.3,2.37,62,36,7.6,22
Zumba Fitness,X360,2010,Sports,505 Games,1.74,0.45,0,0.18,2.37,42,10,5.5,16
Madden NFL 08,X360,2007,Sports,Electronic Arts,2.18,0.01,0,0.18,2.37,85,46,6.4,109
Tony Hawks Underground 2,PS2,2004,Sports,Activision,1.25,0.86,0.01,0.26,2.37,83,59,8.8,55
NBA 2K16,XOne,2015,Sports,Take-Two Interactive,1.98,0.15,0,0.25,2.37,86,14,6.2,117
Madden NFL 10,PS3,2009,Sports,Electronic Arts,2.03,0.13,0,0.21,2.37,85,41,6.8,58
Kirbys Dream Land 2,G,1995,Platform,Nintendo,0.69,0.14,1.48,0.05,2.36,68,26,7,162
Midnight Club: Los Angeles,X360,2008,Racing,Take-Two Interactive,1.69,0.45,0.01,0.21,2.36,81,66,8.5,142
Donkey Kong Land II,G,1996,Platform,Nintendo,1.39,0.48,0.4,0.08,2.35,68,26,7,162
Dragon Warrior Monsters,G,1998,Role-Playing,Eidos Interactive,0,0,2.34,0.01,2.35,68,26,7,162
Kinect: Disneyland Adventures,X360,2011,Misc,Microsoft Game Studios,1.73,0.43,0.02,0.17,2.35,73,33,2.9,67
Guild Wars 2,PC,2012,Action,NCSoft,0.97,1.09,0,0.28,2.34,90,69,7.9,2958
WWE SmackDown vs Raw 2008,PS2,2007,Fighting,THQ,0.92,0,0.01,1.41,2.34,71,11,7.2,31
LEGO Indiana Jones: The Original Adventures,Wii,2008,Action,LucasArts,1.51,0.61,0,0.21,2.34,78,22,6.6,28
Resident Evil - Code: Veronica X,PS2,2001,Action,Capcom,1.08,0.7,0.34,0.21,2.34,84,21,8.4,191
Kinect Sports: Season Two,X360,2011,Sports,Microsoft Game Studios,1.38,0.72,0.02,0.22,2.34,66,46,6.5,39
Paper Mario: Sticker Star,3DS,2012,Role-Playing,Nintendo,1.12,0.43,0.64,0.14,2.33,75,69,5.6,385
Madden NFL 17,PS4,2016,Sports,Electronic Arts,1.65,0.25,0,0.43,2.33,82,35,4.6,93
My Fitness Coach,Wii,2008,Sports,Ubisoft,1.18,0.9,0,0.24,2.32,68,26,8.6,16
Mario Tennis,N64,2000,Sports,Nintendo,0.78,0.4,1.06,0.07,2.32,68,26,7,162
Grand Theft Auto,PS,1997,Action,Take-Two Interactive,0.79,1.35,0.04,0.14,2.32,68,26,7,162
James Bond 007: Everything or Nothing,PS2,2004,Shooter,Electronic Arts,0.85,1.06,0.09,0.32,2.31,84,42,9.1,51
Need For Speed: High Stakes,PS,1999,Racing,Electronic Arts,1.58,0.64,0,0.09,2.31,86,14,8.5,28
Chrono Trigger,SNES,1995,Role-Playing,SquareSoft,0.28,0,2.02,0.01,2.31,68,26,7,162
Cool Boarders 3,PS,1998,Sports,989 Studios,1.65,0.46,0.1,0.1,2.31,68,26,7,162
Tom Clancys The Division,XOne,2016,Shooter,Ubisoft,1.37,0.72,0,0.21,2.3,80,33,6.9,621
Batman: Arkham Origins,PS3,2013,Action,Warner Bros. Interactive Entertainment,1.08,0.8,0.04,0.38,2.3,76,46,7.7,671
WarioWare Touched!,DS,2004,Puzzle,Nintendo,0.51,0.45,1.21,0.13,2.3,68,26,7,162
Yokai Watch Busters,3DS,2015,Action,Level 5,0,0,2.29,0,2.29,68,26,7,162
LEGO Star Wars: The Complete Saga,PS3,2007,Action,LucasArts,1.02,0.91,0,0.36,2.29,80,18,6.7,87
Tomb Raider II,PC,1997,Action,Eidos Interactive,0.91,1.25,0,0.13,2.29,68,26,8.2,39
Need for Speed Underground 2,X,2004,Racing,Electronic Arts,1.38,0.8,0,0.1,2.28,77,35,8.7,27
LEGO Harry Potter: Years 1-4,DS,2010,Action,Warner Bros. Interactive Entertainment,1.07,0.99,0,0.22,2.28,72,7,7.2,6
Pro Evolution Soccer 2010,PS3,2009,Sports,Konami Digital Entertainment,0.3,1.27,0.46,0.26,2.28,78,42,6.7,76
Tom Clancys Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,0.58,1.21,0.15,0.34,2.28,73,40,7.3,490
The Sims 3,X360,2010,Simulation,Electronic Arts,1.27,0.81,0,0.2,2.28,76,42,7.2,72
Mario Bros.,NES,1983,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28,68,26,7,162
FIFA Soccer 09,PS2,2008,Sports,Electronic Arts,0.38,0.07,0.01,1.82,2.28,82,8,6.9,20
Pokemon Ranger: Shadows of Almia,DS,2008,Role-Playing,Nintendo,0.94,0.54,0.62,0.18,2.28,68,24,8.2,27
TOCA Touring Car Championship,PS,1997,Racing,Codemasters,0.07,2,0.02,0.18,2.28,68,26,7,162
Sonics Ultimate Genesis Collection,PS3,2009,Misc,Sega,1.35,0.6,0,0.31,2.27,80,35,8.6,43
Dead Island,PS3,2011,Action,Deep Silver,1.08,0.73,0.15,0.31,2.27,71,41,6.6,409
Kirby: Nightmare in Dream Land,GBA,2002,Platform,Nintendo,1.22,0.1,0.91,0.04,2.27,81,24,8.9,55
Wario Land 4,GBA,2001,Platform,Nintendo,0.9,0.73,0.54,0.09,2.26,88,17,8.9,42
Madden NFL 25,X360,2013,Sports,Electronic Arts,2.01,0.06,0,0.19,2.26,80,32,5.6,136
Yokai Watch,3DS,2013,Role-Playing,Nintendo,0.28,0.58,1.33,0.07,2.26,68,26,7,162
Gears of War 4,XOne,2016,Shooter,Microsoft Game Studios,1.45,0.59,0,0.21,2.26,84,98,6.3,848
Forza Motorsport 5,XOne,2013,Racing,Microsoft Game Studios,1.26,0.79,0.01,0.2,2.25,79,76,5.9,1096
Onimusha 2: Samurais Destiny,PS2,2002,Adventure,Capcom,0.62,0.44,1.06,0.13,2.25,84,31,9,52
Madden NFL 12,PS3,2011,Sports,Electronic Arts,1.93,0.15,0,0.17,2.25,79,31,5.5,56
Cool Boarders 2,PS,1997,Sports,UEP Systems,1.52,0.46,0.2,0.08,2.25,68,26,7,162
Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,Nintendo,1.48,0.25,0.46,0.06,2.25,87,55,9.4,311
LEGO Marvel Super Heroes,X360,2013,Action,Warner Bros. Interactive Entertainment,1.25,0.81,0,0.19,2.25,80,37,7.6,129
God of War: Ascension,PS3,2013,Action,Sony Computer Entertainment,1.23,0.63,0.04,0.35,2.25,80,89,7.5,916
Guitar Hero III: Legends of Rock,PS3,2007,Misc,Activision,1.4,0.53,0.02,0.3,2.24,83,45,7.8,52
Sonic Advance,GBA,2001,Platform,Sega,1.19,0.71,0.22,0.13,2.24,87,22,8.1,48
Assassins Creed IV: Black Flag,XOne,2013,Action,Ubisoft,1.48,0.55,0,0.21,2.24,68,26,7.4,356
Super Monkey Ball: Banana Blitz,Wii,2006,Misc,Sega,1.05,0.91,0.04,0.24,2.24,74,53,5.7,72
Just Dance Kids,Wii,2010,Misc,Ubisoft,1.52,0.54,0,0.18,2.24,68,26,7,162
Call of Duty 3,Wii,2006,Shooter,Activision,1.17,0.84,0,0.23,2.24,69,42,6.7,61
New Super Luigi U,WiiU,2013,Platform,Nintendo,1.25,0.62,0.18,0.18,2.24,77,59,7.9,288
Dissidia: Final Fantasy,PSP,2008,Fighting,Square Enix,0.51,0.5,0.91,0.31,2.23,79,61,8,139
Spyro: Season of Ice,GBA,2001,Platform,Vivendi Games,1.29,0.83,0,0.11,2.23,74,16,8,13
Borderlands 2,PS3,2012,Shooter,Take-Two Interactive,1.05,0.72,0.1,0.35,2.23,91,25,8.2,859
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,Konami Digital Entertainment,1.74,0.25,0.21,0.03,2.23,68,26,7,162
Dance Dance Revolution X2,PS2,2009,Simulation,Konami Digital Entertainment,1.09,0.85,0,0.28,2.23,68,26,7,162
Prince of Persia: The Sands of Time,PS2,2003,Action,Ubisoft,0.88,1.03,0,0.31,2.22,92,44,8.8,206
Monster Hunter Tri,Wii,2009,Role-Playing,Nintendo,0.65,0.4,1.05,0.11,2.22,84,70,8.6,220
The Legend of Zelda: Links Awakening DX,G,1998,Adventure,Nintendo,1,0.63,0.45,0.13,2.22,68,26,7,162
Resident Evil 4,Wii,2007,Action,Capcom,1.32,0.56,0.14,0.2,2.22,68,26,7,162
Star Wars: The Force Unleashed,PS3,2008,Action,LucasArts,1.01,0.85,0,0.35,2.21,71,47,6.6,235
Devil May Cry 3: Dantes Awakening Special Edition,PS2,2006,Action,Capcom,1.06,0.82,0.05,0.28,2.21,68,26,7,162
Guitar Hero II,X360,2007,Misc,Activision,2.01,0.02,0,0.17,2.2,92,55,8.1,220
Frogger,2600,1981,Action,Parker Bros.,2.06,0.12,0,0.02,2.2,68,26,7,162
Rock Band 2,X360,2008,Misc,Electronic Arts,1.78,0.24,0,0.18,2.2,92,69,8.3,156
Need for Speed: Hot Pursuit,X360,2010,Racing,Electronic Arts,1.03,0.96,0,0.21,2.2,88,73,7,207
Pro Yakyuu Family Stadium,NES,1986,Sports,Namco Bandai Games,0.15,0,2.05,0,2.2,68,26,7,162
Wario Land 3,G,2000,Platform,Nintendo,1.11,0.51,0.34,0.23,2.2,68,26,7,162
LEGO Indiana Jones: The Original Adventures,DS,2008,Action,Activision,1.4,0.59,0,0.2,2.2,80,15,7.9,16
Madden NFL 15,PS4,2014,Sports,Electronic Arts,1.55,0.25,0,0.4,2.2,81,37,6.1,209
BioShock 2,X360,2010,Shooter,Take-Two Interactive,1.45,0.54,0.02,0.19,2.2,88,93,8.2,575
High School Musical: Makin the Cut!,DS,2007,Puzzle,Disney Interactive Studios,1.06,0.9,0,0.23,2.2,68,26,7,162
Star Wars: Knights of the Old Republic,X,2003,Role-Playing,Activision,1.68,0.44,0,0.08,2.19,94,72,9.2,317
Donkey Kong Country,G,2000,Platform,Nintendo,1.04,0.72,0.3,0.13,2.19,68,26,7,162
Kirbys Pinball Land,G,1992,Misc,Nintendo,0.87,0.17,1.1,0.05,2.19,68,26,7,162
Pro Evolution Soccer 2012,PS3,2011,Action,Konami Digital Entertainment,0.34,0.96,0.55,0.33,2.19,80,41,6.6,132
Saints Row,X360,2006,Action,THQ,1.17,0.77,0.02,0.22,2.18,81,74,7.5,214
FIFA 15,XOne,2014,Sports,Electronic Arts,0.61,1.42,0,0.16,2.18,82,33,5.4,347
Yu-Gi-Oh: Duel Monsters 4,G,2000,Role-Playing,Konami Digital Entertainment,0,0,2.17,0.01,2.18,68,26,7,162
ATV Offroad Fury 2,PS2,2002,Racing,THQ,1.92,0.2,0,0.06,2.18,82,26,8.9,28
Mario & Luigi: Superstar Saga,GBA,2003,Role-Playing,Nintendo,1.48,0.17,0.47,0.06,2.17,68,26,7,162
DriveClu,PS4,2014,Racing,Sony Computer Entertainment,0.36,1.47,0.02,0.33,2.17,71,85,6.1,1579
Star Wars: Rogue Squadron,N64,1998,Simulation,Nintendo,1.6,0.46,0.08,0.03,2.17,68,26,7,162
Tennis,NES,1984,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17,68,26,7,162
Final Fantasy XIII,X360,2010,Role-Playing,Square Enix,1.28,0.67,0.01,0.21,2.17,82,54,6.3,543
Skylanders SWAP Force,Wii,2013,Platform,Activision,1.22,0.76,0,0.19,2.17,68,26,6.6,5
Scribblenauts,DS,2009,Puzzle,Warner Bros. Interactive Entertainment,1.67,0.3,0.02,0.18,2.16,79,72,7.6,110
The Sims: House Party,PC,2001,Simulation,Electronic Arts,1.23,0.83,0,0.1,2.16,74,17,7.9,30
Sonic Unleashed,Wii,2008,Platform,Sega,1.26,0.67,0.02,0.21,2.16,66,30,7.3,137
Syphon Filter 2,PS,2000,Shooter,Sony Computer Entertainment,1.5,0.55,0.02,0.08,2.15,68,26,7,162
Pokemon Ranger,DS,2006,Role-Playing,Nintendo,1.28,0.03,0.73,0.12,2.15,69,21,7.6,50
Volleyball,NES,1987,Sports,Nintendo,0.14,0.03,1.98,0,2.15,68,26,7,162
Hitman: Absolution,PS3,2012,Action,Square Enix,0.59,1.05,0.07,0.44,2.14,83,30,7.5,512
Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,1,0.68,0.12,0.35,2.14,74,58,7.9,1300
R.C. Pro-Am,NES,1988,Racing,Nintendo,1.47,0.38,0.19,0.1,2.14,68,26,7,162
Mahjong,NES,1983,Misc,Nintendo,0.01,0,2.13,0,2.14,68,26,7,162
Super Mario RPG: Legend of the Seven Stars,SNES,1996,Role-Playing,Nintendo,0.66,0,1.45,0.03,2.14,68,26,7,162
SimCity 2000,PC,1992,Simulation,Maxis,1.2,0.84,0,0.1,2.14,68,26,7,162
Demon Attack,2600,1981,Shooter,Imagic,1.99,0.12,0,0.02,2.13,68,26,7,162
Call of Duty: Roads to Victory,PSP,2007,Shooter,Activision,0.52,1.02,0,0.59,2.13,64,45,7.5,30
Your Shape featuring Jenny McCarthy,Wii,2009,Sports,Ubisoft,1.49,0.46,0,0.18,2.13,62,5,5.2,54
Dance Dance Revolution Extreme,PS2,2004,Simulation,Konami Digital Entertainment,1.04,0.81,0,0.27,2.13,77,26,9,20
Final Fantasy Tactics Advance,GBA,2003,Role-Playing,SquareSoft,0.82,0.37,0.89,0.05,2.13,87,44,7.8,213
Project Gotham Racing,X,2001,Racing,Microsoft Game Studios,1.37,0.61,0.05,0.09,2.12,85,35,8.2,28
Golf,G,1989,Sports,Nintendo,0.83,0.33,0.92,0.04,2.12,68,26,7,162
NBA 2K12,PS3,2011,Sports,Take-Two Interactive,1.62,0.26,0.05,0.18,2.11,90,38,6.7,127
Minecraft,PSV,2014,Misc,Sony Computer Entertainment Europe,0.2,0.7,0.95,0.26,2.11,68,26,7,162
NBA 2K14,PS3,2013,Sports,Take-Two Interactive,1.44,0.31,0.04,0.32,2.11,84,26,4.9,145
Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,0.71,0.94,0.14,0.32,2.11,73,46,5,850
Tony Hawks Pro Skater,N64,2000,Sports,Activision,1.68,0.4,0,0.03,2.11,68,26,7,162
Need for Speed: Hot Pursuit 2,PS2,2002,Racing,Electronic Arts,1.68,0.31,0.02,0.09,2.11,89,31,8.5,93
PES 2009: Pro Evolution Soccer,PS3,2008,Sports,Konami Digital Entertainment,0.11,1.33,0.4,0.26,2.11,68,26,7,162
Dynasty Warriors 4,PS2,2003,Action,Tecmo Koei,0.63,0.21,1.13,0.13,2.11,78,24,9.3,201
Mortal Kombat,X360,2011,Fighting,Warner Bros. Interactive Entertainment,1.64,0.31,0,0.16,2.11,86,66,8.3,384
Mario & Luigi: Dream Team,3DS,2013,Role-Playing,Nintendo,0.89,0.61,0.47,0.14,2.1,68,26,7,162
Parasite Eve,PS,1998,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1,81,17,8.9,89
Tetris DS,DS,2006,Puzzle,Nintendo,0.63,0.05,1.35,0.08,2.1,84,56,8.7,44
NBA 2K11,X360,2010,Action,Take-Two Interactive,1.85,0.12,0.01,0.13,2.1,89,50,8.1,100
Borderlands,PS3,2009,Shooter,Take-Two Interactive,1.21,0.6,0,0.29,2.1,83,58,7.9,429
Project Gotham Racing (JP weekly sales),X,2002,Action,Microsoft Game Studios,1.54,0.44,0.04,0.07,2.1,68,26,7,162
Scooby-Doo! Night of 100 Frights,PS2,2002,Platform,THQ,1.17,0.72,0,0.22,2.1,68,26,7,162
Devil May Cry 3: Dantes Awakening,PS2,2005,Action,Capcom,0.99,0.63,0.29,0.19,2.09,84,60,9,213
Derby Stallion,PS,1997,Sports,ASCII Entertainment,0,0,1.96,0.14,2.09,68,26,7,162
Finding Nemo,PS2,2003,Action,THQ,1.26,0.6,0.05,0.18,2.09,68,26,7,162
Dead Rising,X360,2006,Action,Capcom,1.16,0.64,0.08,0.2,2.08,85,82,7.6,521
World of Warcraft: Cataclysm,PC,2010,Role-Playing,Activision,1.77,0.32,0,0,2.08,90,53,5.5,956
Tetris Worlds,PS2,2002,Puzzle,THQ,1.11,0.71,0,0.27,2.08,44,7,6.2,11
Final Fantasy III,DS,2006,Role-Playing,Square Enix,0.89,0.04,1.07,0.09,2.08,77,45,7.1,137
Sim Theme Park,PC,1998,Strategy,Electronic Arts,2.04,0.04,0,0,2.08,68,26,8,15
Madden NFL 15,X360,2014,Sports,Electronic Arts,1.8,0.06,0,0.22,2.08,68,26,5.5,29
Mario Party 5,GC,2003,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08,69,33,8.2,59
Rock Band,Wii,2008,Misc,MTV Games,1.33,0.56,0,0.2,2.08,80,21,6.3,37
Warcraft: Orcs & Humans,PC,1994,Strategy,Activision,0.89,1.08,0,0.11,2.08,68,26,7,162
Portal 2,X360,2011,Shooter,Valve Software,1.41,0.49,0.01,0.17,2.08,95,66,8.5,1000
Mario Sports Mix,Wii,2010,Sports,Nintendo,0.88,0.44,0.63,0.12,2.08,64,54,7.1,34
Need for Speed: Most Wanted 5-1-0,PSP,2005,Racing,Electronic Arts,1.77,0.12,0.02,0.17,2.07,72,21,7.8,54
Spec Ops: Airborne Commando,PS,2002,Shooter,Take-Two Interactive,1.54,0.46,0,0.08,2.07,68,26,7,162
The Sims 2: Pets,DS,2006,Simulation,Electronic Arts,0.92,0.93,0,0.22,2.07,49,5,5,25
Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,Konami Digital Entertainment,1.35,0.52,0,0.19,2.07,73,16,7.1,27
Mafia III,PS4,2016,Action,Take-Two Interactive,0.48,1.24,0.03,0.32,2.07,68,66,5.1,1194
Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001,Strategy,Konami Digital Entertainment,1.64,0.36,0,0.07,2.07,68,26,7,162
UFC 2009 Undisputed,X360,2009,Fighting,THQ,1.48,0.39,0,0.19,2.06,83,68,7.9,51
Metal Gear Solid: Peace Walker,PSP,2010,Action,Konami Digital Entertainment,0.46,0.41,0.96,0.24,2.06,89,66,8.9,445
Kirbys Epic Yarn,Wii,2010,Platform,Nintendo,1.42,0.09,0.45,0.1,2.06,86,70,8.6,206
Wipeout: The Game,Wii,2009,Misc,Mindscape,1.94,0,0,0.12,2.06,68,26,5.3,18
Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005,Role-Playing,Nintendo,0.71,0.52,0.74,0.08,2.06,68,26,7,162
The Incredibles,GBA,2004,Action,THQ,1.15,0.77,0.04,0.1,2.06,55,13,7,162
Ghostbusters: The Video Game (DS Version),PS3,2010,Action,Take-Two Interactive,0.6,0.96,0.13,0.36,2.06,68,26,7,162
Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,Square Enix,0.63,0.41,0.75,0.26,2.06,82,62,8.5,210
R4: Ridge Racer Type 4,PS,1998,Racing,Namco Bandai Games,0.68,0.46,0.79,0.13,2.06,88,18,9.2,21
Tom Clancys Splinter Cell: Conviction,X360,2010,Action,Ubisoft,1.2,0.62,0.04,0.19,2.06,85,90,7.7,589
SoulCalibur II,PS2,2003,Fighting,Namco Bandai Games,1.06,0.62,0.13,0.25,2.06,92,41,8.8,120
Need for Speed: ProStreet,X360,2007,Racing,Electronic Arts,1.04,0.79,0.01,0.21,2.05,72,42,7.1,78
Sonic Mega Collection,GC,2002,Misc,Infogrames,1.47,0.48,0.05,0.06,2.05,75,26,8.8,41
Need For Speed: Undercover,PS3,2008,Racing,Electronic Arts,0.63,1,0.05,0.38,2.05,59,40,5.9,72
Toy Story 3: The Video Game,DS,2010,Action,Disney Interactive Studios,0.89,0.94,0.02,0.21,2.05,68,26,7,162
NBA Jam,GEN,1992,Sports,Arena Entertainment,1.75,0.25,0,0.05,2.05,68,26,7,162
Call of Duty 2,X360,2005,Shooter,Activision,1.84,0.04,0.01,0.16,2.05,89,65,8.1,310
Mario Party: Island Tour,3DS,2013,Misc,Nintendo,0.64,0.73,0.55,0.12,2.05,57,47,6.2,118
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,Shooter,Sony Computer Entertainment,1.74,0.02,0,0.28,2.04,72,38,9,34
Peter Jacksons King Kong: The Official Game of the Movie,PS2,2005,Action,Ubisoft,0.71,1.02,0,0.31,2.04,82,41,8.2,69
Watch Dogs 2,PS4,2016,Action,Ubisoft,0.56,1.1,0.07,0.31,2.04,82,94,7.9,723
Need for Speed: ProStreet,PS3,2007,Racing,Electronic Arts,0.73,0.91,0.04,0.36,2.04,73,26,6,43
Donkey Kong Country,GBA,2003,Platform,Nintendo,1.2,0.48,0.29,0.07,2.04,78,26,8.9,53
Dance Central 2,X360,2011,Misc,Microsoft Game Studios,1.45,0.41,0.01,0.16,2.04,86,56,8.2,63
PGR4 - Project Gotham Racing 4,X360,2007,Racing,Microsoft Game Studios,0.48,1.28,0.02,0.25,2.04,68,26,7,162
Battlefield 4,XOne,2013,Shooter,Electronic Arts,1.27,0.58,0,0.19,2.03,81,5,6.6,482
Carnival Games,DS,2008,Misc,Take-Two Interactive,1.22,0.63,0,0.19,2.03,48,11,3.3,4
1080\xc2\xb0: TenEighty Snowboarding,N64,1998,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03,68,26,7,162
Fire Emblem: Awakening,3DS,2012,Role-Playing,Nintendo,0.9,0.45,0.54,0.13,2.03,92,72,9.1,1139
NBA Live 2004,PS2,2003,Sports,Electronic Arts,1.57,0.18,0,0.27,2.03,86,19,7.7,41
Rayman Raving Rabbids: TV Party,Wii,2008,Misc,Ubisoft,0.72,1.08,0,0.23,2.03,73,24,7.7,29
Pok\xc3\xa9mon Mystery Dungeon: Blue Rescue Team,DS,2005,Role-Playing,Nintendo,1.15,0.04,0.83,0,2.02,62,34,8.1,99
Just Dance 2015,Wii,2014,Misc,Ubisoft,1,0.85,0,0.17,2.02,68,26,8.4,5
Dark Souls,PS3,2011,Role-Playing,Namco Bandai Games,0.75,0.51,0.54,0.22,2.02,89,54,8.7,1410
Just Dance 3,X360,2011,Misc,Ubisoft,1.47,0.39,0,0.16,2.02,70,34,7.7,17
Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.73,0.88,0.08,0.32,2.01,89,43,7.4,2005
Need for Speed: The Run,PS3,2011,Action,Electronic Arts,0.58,1.04,0.03,0.36,2.01,64,48,6.4,183
Mortal Kombat vs. DC Universe,PS3,2008,Fighting,Midway Games,1.49,0.28,0,0.23,2.01,76,44,7,108
Super Street Fighter II,SNES,1993,Fighting,Nintendo,0.52,0.16,1.29,0.03,2,68,26,7,162
Dead Space,PS3,2008,Action,Electronic Arts,1.05,0.66,0,0.29,2,88,67,8.8,553
TouchMaster,DS,2007,Puzzle,Midway Games,0.48,1.27,0,0.24,2,71,19,5.7,9
Skate 3,PS3,2010,Sports,Electronic Arts,0.79,0.89,0,0.32,1.99,80,46,7.6,82
Tenchu: Stealth Assassins,PS,1997,Action,Activision,0.95,0.64,0.27,0.13,1.99,87,14,8.8,46
Tennis,G,1989,Sports,Nintendo,0.75,0.3,0.9,0.04,1.99,68,26,7,162
Harry Potter and the Chamber of Secrets,GBA,2002,Action,Electronic Arts,1.21,0.64,0.05,0.09,1.99,76,11,7.9,15
Kingdom Hearts 358/2 Days,DS,2009,Role-Playing,Square Enix,1.06,0.26,0.53,0.13,1.98,75,53,7.8,164
Need for Speed Rivals,PS4,2013,Racing,Electronic Arts,0.73,0.92,0.03,0.3,1.98,80,53,6.2,675
SimCity,SNES,1991,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98,68,26,7,162
Harry Potter and the Chamber of Secrets,PS,2002,Action,Electronic Arts,0.75,1.09,0.02,0.12,1.98,68,26,8.5,34
Spyro: Enter the Dragonfly,PS2,2002,Platform,Universal Interactive,0.74,0.95,0,0.28,1.97,56,20,4.1,95
Devil May Cry 2,PS2,2003,Action,Capcom,0.71,0.58,0.51,0.17,1.97,68,40,6.6,167
E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0,0.02,1.97,68,26,7,162
Hot Shots Golf: Open Tee,PSP,2004,Sports,Sony Computer Entertainment,0.5,0.5,0.63,0.33,1.96,81,57,8.7,34
Soccer,NES,1985,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96,68,26,7,162
Rad Racer,NES,1986,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96,68,26,7,162
Resident Evil 6,X360,2012,Shooter,Capcom,1.12,0.6,0.07,0.16,1.96,67,71,5,1409
Forza Horizon,X360,2012,Racing,Microsoft Game Studios,0.82,0.93,0.04,0.18,1.96,85,83,8.4,434
