Name,year,Esrp,Genre,rate,vote,country,company,Sales
Battle Realms,2001,Not Rated,Fantasy,8.6,24,United States,Liquid Entertainment,0.09
Sword Art Online: Infinity Moment,2013,Not Rated,Fantasy,8.6,21,Japan,Aquiria,0.08
The Adventures of Batman & Robin,1995,Adults Only,Crime,8.6,15,United States,Clockwork Tortoise,0.08
Forza Horizon 3,2016,Everyone,Crime,8.6,852,United Kingdom,Playground Games,0.08
Steins;Gate 0,2015,Mature,Mystery,8.6,230,Japan,5pb.,0.08
Danganronpa 2: Goodbye Despair,2012,Mature,Thriller,8.6,690,Japan,Spike Chunsoft,0.08
Bandori! Gâruzu bando pâtî,2017,Not Rated,Music,8.6,19,Japan,Craft Egg,0.08
LUNAR: Silver Star Story Complete,1999,Teen,Comedy,8.6,37,United States,Working Designs,0.07
Rune Factory 3: A Fantasy Harvest Moon,2009,Everyone,Unknown,8.6,9,Japan,Neverland Company,0.07
Hatsune Miku: Project Diva F,2012,Teen,Musical,8.6,65,Japan,Dingo (II),0.07
Aliens vs. Pinball,2016,Everyone1Adults Only+,Sci-Fi,8.6,99,United States,Zen Studios,0.06
The 13th Doll,2018,Not Rated,Thriller,8.6,7,United States,Attic Door Productions,0.06
Asagao Academy: Normal Boots Club,2016,Not Rated,Romance,8.6,43,United States,Illus Seed,0.06
Doragon kuesuto XI: Sugisarishi toki o motomete,2017,Teen,Fantasy,8.6,493,Japan,Armor Project,0.06
One Piece: Donjara,2014,Not Rated,Unknown,8.6,7,Japan,Namco Bandai Games,0.06
Wallace & Gromit Fun Pack,1996,Not Rated,Family,8.6,8,United Kingdom,Inner Workings,0.06
Shardlight,2016,Not Rated,Sci-Fi,8.6,104,United States,Wadjet Eye,0.06
The Last Stand: Union City,2011,Not Rated,Horror,8.6,15,Unknown,Unknown,0.06
Cyber City Oedo 808,1991,Not Rated,Action,8.6,17,Japan,NCS Corporation,0.06
XCOM: Enemy Within,2013,Mature,Thriller,8.6,442,United States,Firaxis Games Inc.,0.05
Dragon Age: Inquisition - Trespasser,2015,Not Rated,Fantasy,8.6,404,United States,Unknown,0.05
Punky Skunk,1998,Not Rated,Unknown,8.6,29,Japan,Ukiyotei,0.05
GivingTales,2015,Not Rated,Family,8.6,43,Hungary,GivingTales Kft,0.05
X-Men Cartoon Maker,1996,Not Rated,Action,8.6,20,United States,Instinct Corporation,0.05
Rack N Ruin,2015,Not Rated,Adventure,8.6,8,United States,LifeSpark Entertainment,0.04
A Golden Wake,2014,Not Rated,Unknown,8.6,84,United States,Wadjet Eye,0.03
NyxQuest: Kindred Spirits,2009,Not Rated,Adventure,8.6,7,Spain,Unknown,0.03
To the Moon,2011,Teen,Mystery,8.6,737,Canada,Freebird Games,0.03
Dejimon adobenchâ,2013,Not Rated,Sci-Fi,8.6,30,Japan,Bandai Namco Games,0.03
Star Wars Pinball,2013,Everyone1Adults Only+,Sci-Fi,8.6,83,United States,Zen Studios,0.02
Black Mesa,2012,Not Rated,Thriller,8.6,692,United States,Black Mesa Modification Team,0.02
Medieval Moves: Deadmund's Quest,2011,Not Rated,Action,8.6,15,United States,San Diego Studios,0.02
Ni no Kuni: Wrath of the White Witch,2011,Everyone1Adults Only+,Fantasy,8.6,862,Japan,Level-5,0.02
9mm,2011,Mature,Crime,8.6,5,France,Gameloft,0.02
Bayonetta 2,2014,Mature,Fantasy,8.6,611,Japan,Platinum Games,0.02
The Cat Lady,2012,Not Rated,Mystery,8.6,261,United Kingdom,Harvester Games,0.01
Parodiusu Da! Shinwa kara Owaraihe,1990,Not Rated,Family,8.6,49,Japan,Konami Industries,1.3
Otomediusu X,2011,Teen,Fantasy,8.6,55,Japan,Konami Computer Entertainment,0.19
Mystery Case Files: Escape from Ravenhearst,2011,Not Rated,Mystery,8.6,22,United States,Big Fish Games,0.19
Kyokugen dasshutsu: 9-jikan 9-nin 9 no tobira,2009,Mature,Sci-Fi,8.6,268,Japan,Chun Soft,0.33
Vampire Survivors,2021,Not Rated,Fantasy,8.6,12,United States,poncle,0.1
Gô bakêshon,2011,Everyone,Sport,8.6,28,Japan,Unknown,0.08
Salt and Sacrifice,2022,Not Rated,Action,8.6,5,United States,Ska Studios,0.07
People Playground,2019,Not Rated,Comedy,8.6,13,Netherlands,Studio Minus,0.07
Super Mario Advance 4: Super Mario Bros. 3,2003,Everyone,Family,8.6,16,Japan,Nintendo R&D2,0.06
Saturday Night Fever,2008,Not Rated,Action,8.6,9,Japan,Paramount Pictures Digital Entertainment,0.04
Marvel Pinball,2010,Not Rated,Action,8.6,89,United States,Resnick Interactive Development,0.03
RimWorld,2013,Mature,Sci-Fi,8.6,18,Canada,Unknown,0.14
Batman - The Telltale Series Shadow Mode,2016,Not Rated,Unknown,8.6,7,Unknown,Unknown,0.14
Ghostbusters: Afterlife ScARe,2021,Not Rated,Sci-Fi,8.6,68,United States,Ghostcorps,0.13
Kid A Mnesia Exhibition,2021,Not Rated,Music,8.6,34,United Kingdom,Unknown,0.12
Kero Blaster,2014,Everyone,Fantasy,8.6,5,Japan,Studio Pixel,0.09
Ultra Custom Night,2020,Not Rated,Horror,8.6,17,Poland,Unknown,0.08
Before Your Eyes,2021,Not Rated,Drama,8.6,67,United States,GoodbyeWorld Games,0.08
Wizard101,2008,Everyone1Adults Only+,Fantasy,8.6,126,United States,KingsIsle Entertainment,0.08
Afraid of Monsters,2005,Not Rated,Horror,8.6,5,Sweden,Team Psykskallar,0.07
Metal Gear Solid V: The Definitive Experience,2016,Mature,Drama,8.6,38,Japan,Kojima Productions,0.06
Age of Empires III: Definitive Edition,2020,Not Rated,War,8.6,15,United States,Forgotten Empires,0.05
Devil May Cry 5: Special Edition,2020,Mature,Fantasy,8.6,51,Japan,Capcom Company,0.02
Shin Megami Tensei: Strange Journey,2009,Mature,Fantasy,8.6,64,Japan,Atlus,0.02
Hylics,2015,Not Rated,Fantasy,8.6,14,United States,Unknown,0.01
Summertime Saga,2019,Mature,Romance,8.6,28,France,Kompas Productions,0.01
Teardown,2020,Not Rated,Crime,8.6,29,Sweden,Tuxedo Labs,0.01
Disgaea 3: Absence of Justice,2008,Teen,Comedy,8.6,51,Japan,Nippon Ichi Software,14.8
Big Chungus,2018,Mature,Action,8.6,14,United Kingdom,Unknown,14.67
Dofus,2004,Not Rated,Adventure,8.6,13,France,Ankama,13.69
Murder House,2020,Mature,Horror,8.6,40,United States,Puppet Combo,13.48
Amazing Frog?,2014,Everyone1Adults Only+,Comedy,8.6,8,United Kingdom,Fayju,13.32
Rûn fakutorî furontia,2008,Not Rated,Unknown,8.6,19,Japan,Neverland Company,12.64
Arknights,2020,Not Rated,Fantasy,8.6,25,United States,Hypergryph,10.6
The Secret of Monkey Island: Special Edition,2009,Everyone1Adults Only+,Fantasy,8.6,73,United States,LucasArts Entertainment Company,9.37
BTS Universe Story,2020,Not Rated,Unknown,8.6,13,South Korea,HYBE,9.35
The Yakuza Remastered Collection,2019,Not Rated,Drama,8.6,38,Japan,Ryu Ga Gotoku Studio,7.68
Quest for Glory II: Trial by Fire,2008,Not Rated,Adventure,8.6,29,Australia,AGD Interactive LLC,7.44
Tokyo Dark,2017,Mature,Mystery,8.6,5,Japan,Cherrymochi,7.42
Ryû ga gotoku 2,2006,Mature,Drama,8.6,225,Japan,Ryu Ga Gotoku Studio,6.69
Suzerain,2020,Not Rated,History,8.6,5,United States,Torpex Games,6.31
Culdcept Saga,2006,Teen,Drama,8.6,9,Japan,Jamsworks Co.,5.8
Faith,2017,Not Rated,Horror,8.6,7,United States,Airdorf Games,5.66
NCAA Basketball 10,2009,Not Rated,Sport,8.6,6,Canada,EA Sports,5.4
Company of Heroes: Opposing Fronts,2007,Not Rated,War,8.6,233,Canada,Relic Entertainment,5.28
The Legend of Kyrandia: The Hand of Fate,1993,Not Rated,Fantasy,8.6,61,United States,Westwood Studios Inc.,5.17
Discovery Tour: Ancient Greece,2019,Everyone1Adults Only+,History,8.6,21,Canada,Ubisoft Montreal,5.02
Five Nights at Candy's Remastered,2019,Not Rated,Horror,8.6,21,United States,Unknown,4.98
Hype: The Time Quest,1999,Everyone,Fantasy,8.6,52,Canada,Playmobil Interactive,4.85
Dijitaru debiru saaga: Abataaru teyuunaa 2,2005,Mature,Fantasy,8.6,81,Japan,Atlus,4.68
Not for Broadcast,2019,Not Rated,Drama,8.6,67,United Kingdom,Unknown,4.6
Sky: Children of the Light,2019,Not Rated,Adventure,8.6,77,United States,ThatGameCompany,4.53
Jumurdzsák gyürüje,2006,Not Rated,Adventure,8.6,24,Hungary,Unknown,4.5
AM2R: Return of Samus,2016,Everyone1Adults Only+,Mystery,8.6,21,Argentina,Unknown,4.48
Persona 3 Portable,2009,Mature,Fantasy,8.6,119,Japan,Atlus,4.41
Digital Combat Simulator World,2008,Not Rated,War,8.6,8,Russia,Eagle Dynamics,4.38
Factorio,2012,Not Rated,Adventure,8.6,100,Czech Republic,Wube Software,4.32
Faces of War,2006,Not Rated,War,8.6,73,Unknown,Best Way,4.21
World in Conflict,2007,Teen,Drama,8.6,425,Sweden,Ubisoft Massive,4.09
Persian Gulf Inferno,1989,Not Rated,Action,8.6,7,United States,Magic Bytes,3.9
QI: A Quite Interesting Game,2005,Mature,Game Show,8.6,28,United Kingdom,TalkBack Productions,3.76
"Achtung, die Kurve!",1995,Not Rated,Family,8.6,30,Germany,Microsoft,3.67
Sly 3: Honor Among Thieves,2005,Everyone1Adults Only+,Comedy,8.6,996,United States,Sony Computer Entertainment America,3.56
Radiata Stories,2005,Teen,Drama,8.6,78,Japan,Tri-Ace Inc.,3.41
Quest for Glory I: So You Want to Be a Hero,1992,Not Rated,Adventure,8.6,100,United States,Sierra Entertainment,3.38
Ace Combat 5: The Unsung War,2004,Teen,Drama,8.6,252,Japan,Namco,3.13
Katamari damashii,2004,Everyone,Fantasy,8.6,353,Japan,Namco,3.05
Nancy Drew: Curse of Blackmoor Manor,2004,Everyone,Mystery,8.6,109,United States,Her Interactive Inc.,2.93
Rockman Zero 3,2004,Everyone,Sci-Fi,8.6,112,Japan,Capcom Company,2.89
ESPN NFL 2K5,2004,Not Rated,Sport,8.6,138,United States,ESPN Videogames,2.7
Tales of Symphonia,2003,Teen,Drama,8.6,705,Japan,Namco Tales Studio Ltd.,2.67
Desperados: Wanted Dead or Alive,2001,Teen,Western,8.6,228,Germany,Spellbound I,2.66
Return of the Incredible Machines: Contraptions,2000,Not Rated,Adventure,8.6,6,United States,Sierra Entertainment,2.53
Dark Earth,1997,Not Rated,Sci-Fi,8.6,46,France,Kalisto Entertainment,2.37
Twisted Metal 2: World Tour,1996,Teen,Fantasy,8.6,550,United States,SingleTrac Entertainment Technologies Inc.,2.24
Betrayal at Krondor,1993,Not Rated,Fantasy,8.6,80,United States,Dynamix,2.2
Frontier: Elite II,1993,Not Rated,Sci-Fi,8.6,47,United Kingdom,Konami,2.2
Atlantis: The Lost Tales,1997,Not Rated,Mystery,8.6,50,France,Cryo Interactive Entertainment,2.19
Snatcher,1988,Teen,Sci-Fi,8.6,243,Japan,Konami,2.17
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,2002,Not Rated,Comedy,8.6,498,United States,Monolith Productions,2.13
Silent Bomber,1999,Teen,Mystery,8.6,21,Japan,Cyber Connect,2.08
Blue's Treasure Hunt,1999,Everyone,Musical,8.6,20,United States,Humongous Entertainment,2.05
Shivers II: Harvest of Souls,1997,Teen,Musical,8.6,41,United States,Sierra Entertainment,1.94
Quest for Glory V: Dragon Fire,1998,Not Rated,Unknown,8.6,81,United States,Sierra Entertainment,1.94
Lunar: The Silver Star,1992,Not Rated,Comedy,8.6,180,Japan,Game Arts Co.,1.93
Blade of Darkness,2001,Mature,Fantasy,8.6,125,Spain,Rebel Act Studios,1.92
The Legend of Dragoon,1999,Teen,Fantasy,8.6,536,Japan,Sony Computer Entertainment,1.9
Vagrant Story,2000,Teen,Fantasy,8.6,358,Japan,Square Company,1.86
Dust: A Tale of the Wired West,1995,Not Rated,Fantasy,8.6,51,United States,Cyberflix Inc.,1.82
Chrono Cross,1999,Teen,Fantasy,8.6,932,Japan,Square Company,1.76
Privateer,1993,Not Rated,Sci-Fi,8.6,162,United States,Origin Systems,1.75
Ultima VII Part Two: Serpent Isle,1993,Not Rated,Fantasy,8.6,74,United States,Origin Systems,1.73
Discworld Noir,1999,Not Rated,Crime,8.6,257,United Kingdom,Perfect Entertainment,1.72
Dune II: The Building of a Dynasty,1992,Not Rated,War,8.6,396,United States,Westwood Studios Inc.,1.68
Oddworld: Abe's Exoddus,1998,Teen,Sci-Fi,8.6,536,United States,GT Interactive Software,1.67
Under a Killing Moon,1994,Not Rated,Crime,8.6,323,United States,Access Software Inc.,1.67
Star Wars: TIE Fighter,1994,Not Rated,Sci-Fi,8.6,443,United States,LucasArts Entertainment Company,1.63
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",1999,Mature,Horror,8.6,530,United States,Unknown,1.63
Beat Saber,2018,Not Rated,Music,8.5,280,Czech Republic,Beat Games,1.62
Tzar: The Burden of the Crown,2000,Not Rated,War,8.5,17,Bulgaria,Haemimont Games,1.6
Marvel Powers United VR,2018,Teen,Action,8.5,12,United States,Sanzaru Games,1.59
Steins;Gate: Senkei Kousoku no Phenogram,2013,Mature,Sci-Fi,8.5,45,Japan,5pb.,1.57
Attack on Titan 2,2018,Mature,Fantasy,8.5,501,Japan,Omega Force,1.55
Remothered (Prototype),2012,Not Rated,Unknown,8.5,18,Italy,Darril Arts,1.54
DreamWorks Dragons: Rise Of Berk,2014,Not Rated,Adventure,8.5,16,United States,Ludia,1.54
Invader Zim: In-Sanitation,2001,Not Rated,Sci-Fi,8.5,7,United States,Shockwave,1.53
Batman: Arkham City Armored Edition,2012,Teen,Crime,8.5,57,Unknown,Unknown,1.51
Beyond Skyrim: Bruma,2017,Not Rated,Fantasy,8.5,33,United States,Unknown,1.48
Rewrite,2011,Not Rated,Unknown,8.5,8,Japan,Visual Art's/Key,1.45
The Room Tribute,2010,Not Rated,Comedy,8.5,23,Unknown,Newgrounds,1.42
Blackwell Epiphany,2014,Not Rated,Adventure,8.5,140,United States,Wadjet Eye,1.41
Tales of Destiny,2006,Not Rated,Fantasy,8.5,6,Japan,Namco,1.4
The Shivah,2006,Not Rated,Unknown,8.5,102,United States,Wadjet Eye,1.38
Resonance,2012,Not Rated,Unknown,8.5,88,United States,XII Games,1.38
Re: Zero kara hajimeru isekai seikatsu: Death or Kiss,2017,Not Rated,Fantasy,8.5,65,Japan,Unknown,1.37
Notes on Blindness,2016,Not Rated,Unknown,8.5,8,United Kingdom,ARTE,1.37
Ryuu ga gotoku 6: Inochi no uta,2016,Mature,Drama,8.5,477,Japan,Ryu Ga Gotoku Studio,1.37
Dai Gyakuten Saiban: Naruhodou Ryuunosuke no Bouken,2015,Not Rated,Mystery,8.5,60,Japan,Capcom Company,1.33
The Last Door: Season One,2013,Not Rated,Mystery,8.5,121,Spain,The Game Kitchen,1.33
Hatsune Miku: Project Diva X,2016,Teen,Musical,8.5,83,Japan,Dingo (II),1.31
Call of Cthulhu: Shadow of the Comet,1993,Not Rated,Mystery,8.5,105,France,Infogrames,1.31
Skyrim: Falskaar,2013,Not Rated,Fantasy,8.5,24,United States,Yatagan,1.31
Command & Conquer: Mental Omega,2016,Teen,Sci-Fi,8.5,12,United States,Unknown,1.27
Flying Tigers: Shadows Over China,2017,Mature,History,8.5,20,Sweden,Ace Maddox,1.27
Fran Bow,2015,Teen,Horror,8.5,274,Sweden,Killmonday Games,1.25
The Elder Scrolls IV: Shivering Isles,2007,Not Rated,Fantasy,8.5,377,United States,Bethesda Game Studios,1.24
Kingdom Hearts HD 2.8 Final Chapter Prologue,2017,Everyone1Adults Only+,Family,8.5,526,Japan,Disney Interactive Japan,1.24
Final Fantasy XIV: Heavensward,2015,Teen,Fantasy,8.5,175,Japan,Square Enix Company,1.24
Street Fighter Anniversary Collection,2004,Teen,Action,8.5,70,Japan,Capcom Company,1.23
Civilization: Call to Power,1999,Not Rated,Sci-Fi,8.5,10,United States,Activision,1.23
Myth II: Soulblighter,1998,Not Rated,Fantasy,8.5,47,United States,Bungie Software,1.21
Katawa Shoujo,2012,Mature,Romance,8.5,105,United States,Four Leaf Studios,1.21
Stronghold: Crusader,2002,Not Rated,War,8.5,326,United Kingdom,Firefly Studios,1.2
The Talos Principle,2014,Not Rated,Mystery,8.5,493,Unknown,Croteam,1.19
Primordia,2012,Not Rated,Sci-Fi,8.5,146,United States,Wormwood Studios,1.18
The Mysterious Cities of Gold: Secret Paths,2013,Not Rated,Adventure,8.5,7,France,Blue Spirit Animation,1.15
Infinity Blade III,2013,Not Rated,Fantasy,8.5,118,United States,Chair Entertainment Group,1.15
Ryuu ga gotoku: Ishin!,2014,Not Rated,History,8.5,31,Japan,Ryu Ga Gotoku Studio,1.14
Dragon Ball Z,1993,Not Rated,Sci-Fi,8.5,106,Japan,Banpresto,1.13
Pajama Sam 2: Thunder and Lightning Aren't So Frightening,1998,Not Rated,Family,8.5,80,United States,Humongous Entertainment,1.12
Zombie Panic: Source!,2007,Not Rated,Horror,8.5,14,Japan,Unknown,1.12
Fantajî raifu,2012,Everyone1Adults Only+,Adventure,8.5,29,Japan,Brownie Brown,1.11
Clannad,2004,Teen,Fantasy,8.5,83,Japan,Visual Art's/Key,1.1
Rasuto windou: Mayonaka no yakusoku,2010,Not Rated,Mystery,8.5,29,Japan,Cing,1.09
Age of Empires: The Age of Kings,2006,Not Rated,War,8.5,945,Canada,Backbone Entertainment,1.09
EA Sports Nascar 09,2008,Everyone,Sport,8.5,51,United States,Electronic Arts (EA),1.07
As Dusk Falls,2022,Mature,Thriller,8.5,175,United Kingdom,Interior Night,1.06
Super Mario Bros. Deluxe,1999,Everyone,Family,8.5,6,Japan,Nintendo Entertainment Planning & Development (EPD),1.06
Moss: Book II,2022,Everyone1Adults Only+,Adventure,8.5,11,United States,Polyarc,1.03
Street Fighter: 30th Anniversary Collection,2018,Teen,Action,8.5,30,Japan,Digital Eclipse,1.03
ESHQ,2018,Mature,Sci-Fi,8.5,6,Russia,Unknown,1.02
Bloodborne PSX,2022,Mature,Fantasy,8.5,17,United States,LWMedia,1.02
Nier Replicant,2010,Mature,Drama,8.5,339,Japan,Cavia,0.97
S.T.A.L.K.E.R.: Call of Pripyat,2009,Not Rated,Horror,8.5,498,Ukraine,GSC Game World,0.97
Mystery Case Files: Dire Grove,2009,Not Rated,Mystery,8.5,33,United States,Thinklab,0.95
Inscryption,2021,Not Rated,Horror,8.5,102,Canada,Daniel Mullins Games,0.94
Drakensang - Am Fluss der Zeit,2010,Not Rated,Fantasy,8.5,110,Germany,Radon Labs,0.94
X3: Terran Conflict,2008,Not Rated,Sci-Fi,8.5,22,Germany,Egosoft,0.93
Ultima Underworld: The Stygian Abyss,1992,Not Rated,Fantasy,8.5,36,United States,Blue Sky Productions,0.93
Football Manager 2010,2009,Not Rated,Sport,8.5,145,United Kingdom,Sports Interactive,0.93
Hidden & Dangerous 2,2003,Not Rated,War,8.5,63,Czech Republic,Illusion Softworks,0.93
UnMetal,2021,Mature,Comedy,8.5,11,Spain,Unknown,0.93
Detention,2017,Mature,Mystery,8.5,31,Taiwan,Red Candle Games,0.91
Deadbolt,2016,Teen,Horror,8.5,8,United States,Hopoo Games,0.91
Final Fantasy Chronicles,2001,Teen,Comedy,8.5,7,Japan,Toei Animation,0.9
Mystic Messenger,2016,Not Rated,Unknown,8.5,17,Unknown,Unknown,0.9
The Beatles: Rock Band,2009,Teen,Musical,8.5,446,United States,Curious Pictures,0.9
Evil Dead: The Game,2022,Mature,Horror,8.5,226,United States,Saber Interactive,0.9
Supreme Commander: Forged Alliance,2007,Not Rated,Sci-Fi,8.5,85,United States,Gas Powered Games,0.89
There Is No Game: Wrong Dimension,2020,Not Rated,Comedy,8.5,67,France,Unknown,0.89
Outlast Trinity,2017,Mature,Horror,8.5,56,United States,Unknown,0.89
Are You Afraid of the Dark?: The Tale of Orpheo's Curse,1994,Not Rated,Horror,8.5,57,Canada,CINAR,0.88
428: Fûsa sareta Shibuya de,2008,Teen,Thriller,8.5,48,Japan,Chun Soft,0.87
Killer Bean Unleashed,2012,Everyone1Adults Only+,Sci-Fi,8.5,24,United States,Killer Bean Studios,0.84
The Henry Stickmin Collection,2020,Everyone1Adults Only+,Comedy,8.5,318,United States,Innersloth Productions,0.83
Whacked!,2002,Teen,Adventure,8.5,18,United States,Presto Studios,0.82
Grand Theft Auto Trilogy,2005,Mature,Drama,8.5,105,Unknown,Rockstar North,0.81
Far Cry Compilation,2013,Mature,Action,8.5,7,Unknown,Unknown,0.8
Super Dragon Ball Heroes: World Mission,2019,Teen,Unknown,8.5,13,Unknown,Unknown,0.79
Subarashiki kono sekai,2007,Teen,Comedy,8.5,283,Japan,Jupiter,0.79
SiN: Wages of Sin,1999,Not Rated,Sci-Fi,8.5,8,United States,2015,0.79
Football Manager 2008,2007,Not Rated,Sport,8.5,170,United States,Sports Interactive,0.79
Thirstiest Time of the Year,2018,Not Rated,Horror,8.5,12,United States,Unknown,0.78
Suzumiya Haruhi no yakusoku,2007,Not Rated,Unknown,8.5,21,Japan,Unknown,0.77
Gurôransâ V: Generations,2006,Teen,Drama,8.5,31,Japan,Career Soft,0.76
Just Shapes and Beats,2018,Everyone1Adults Only+,Comedy,8.5,39,Canada,Berzerk Studio,0.76
Shall We Date?: Obey Me!,2019,Not Rated,Romance,8.5,44,Japan,Unknown,0.76
Andâ naito inbâsu: Ekusereito Kure,2020,Not Rated,Fantasy,8.5,8,Japan,Ecole Software,0.75
Zombie Society - Dead Detective vs Nine Deaths Cat,2017,Not Rated,Mystery,8.5,6,Italy,Armor Games,0.75
Zombie Society - Dead Detective,2017,Not Rated,Mystery,8.5,6,Italy,Armor Games,0.75
Zombie Society Dead Detective - Walls Can Bleed,2017,Not Rated,Mystery,8.5,6,Italy,Armor Games,0.74
Zombie Society: Dead Detective - Brain Drain,2017,Not Rated,Mystery,8.5,6,Italy,Armor Games,0.74
Zombie Society Dead Detective - Roving Eyes,2018,Not Rated,Mystery,8.5,6,Italy,Armor Games,0.73
Knights of Honor,2004,Not Rated,Unknown,8.5,35,Bulgaria,Black Sea Films,0.73
Shin megami tensei III: Nocturne,2003,Mature,Fantasy,8.5,175,Japan,Atlus,0.72
Debiru samanaa: Kuzunoha Raidou tai Chôriki Heidan,2006,Mature,Fantasy,8.5,77,Japan,Atlus,0.72
Slaves to Armok: God of Blood Chapter II: Dwarf Fortress,2006,Not Rated,Fantasy,8.5,15,United States,Bay 12 Games,0.72
Laura's Happy Adventures,1998,Everyone,Romance,8.5,14,Canada,Playmobil Interactive,0.72
Monsutâ hantâ wârudo: Aisubôn,2019,Not Rated,Fantasy,8.5,86,Japan,Unknown,0.72
Mega Man Zero/ZX Legacy Collection,2020,Teen,Sci-Fi,8.5,17,Japan,Capcom Company,0.72
El Chavo Kart,2014,Everyone1Adults Only+,Comedy,8.5,18,Unknown,Televisa Home Entertainment,0.71
Grand Poo World 2,2019,Not Rated,Adventure,8.5,8,United States,Unknown,0.71
The King's Gold,2019,Not Rated,Adventure,8.5,8,United Kingdom,Armor Games,0.7
The Godfather: Blackhand Edition,2007,Mature,Crime,8.5,176,United States,Electronic Arts (EA),0.7
Kingdom Hearts: The Story So Far,2018,Not Rated,Family,8.5,25,Japan,Unknown,0.7
Connections,1996,Not Rated,Mystery,8.5,12,United States,SOM Interactive,0.69
Etherlords II,2003,Not Rated,Action,8.5,67,Unknown,Unknown,0.69
LMA Manager 2007,2006,Not Rated,Sport,8.5,36,United Kingdom,Codemasters Software Company,0.69
Metroid Prime 3: Corruption,2007,Teen,Mystery,8.5,997,Japan,Nintendo Software Planning and Development (SPD),0.68
Ebaa Sebuntiin: The Out of Infinity,2002,Teen,Drama,8.5,49,Japan,Kindle Imagine Develop (KID),0.67
"Warhammer 40,000: Dawn of War - Dark Crusade",2006,Mature,Sci-Fi,8.5,431,United States,Relic Entertainment,0.67
Company of Heroes,2006,Mature,War,8.5,814,Canada,Relic Entertainment,0.67
Silent Hunter III,2005,Teen,Action,8.5,60,Romania,Ubisoft Romania,0.67
Lost Odyssey,2007,Teen,Drama,8.5,458,Japan,Mistwalker,0.66
Strategic Conquest,1990,Not Rated,Adventure,8.5,28,United States,Delta,0.66
Mail Order Monster,1985,Not Rated,Adventure,8.5,18,United States,Electronic Arts (EA),0.66
RollerCoaster Tycoon 2,2002,Everyone,Adventure,8.5,400,United Kingdom,Unknown,0.66
World Games,1986,Not Rated,Sport,8.5,54,United States,Epyx Inc.,0.65
Krakout,1987,Not Rated,Family,8.5,38,United Kingdom,Gremlin Interactive,0.65
The Bizarre Adventures of Woodruff and the Schnibble,1994,Not Rated,Unknown,8.5,35,France,Coktel Vision,0.65
Hearts of Iron II,2005,Not Rated,War,8.5,90,United States,Paradox Interactive,0.65
Close Combat: A Bridge Too Far,1997,Adults Only,Adventure,8.5,32,United States,Atomic Games,0.64
Championship Manager 2000/01,2000,Not Rated,Sport,8.5,109,United Kingdom,Sports Interactive,0.64
Tiny Toon Adventures: Buster's Hidden Treasure,1993,Not Rated,Adventure,8.5,83,Japan,Konami,0.63
NCAA Football 06,2005,Everyone,Sport,8.5,63,United States,Unknown,0.63
Supremacy,1991,Not Rated,History,8.5,32,United States,Unknown,0.63
Little Big Adventure,1994,Not Rated,Adventure,8.5,144,France,Adeline Software,0.63
Turrican II: The Final Fight,1991,Not Rated,Sci-Fi,8.5,76,Germany,Factor 5,0.63
Phantom Brave,2004,Teen,Fantasy,8.5,36,Japan,Nippon Ichi Software,0.63
Claw,1997,Everyone,Comedy,8.5,203,United States,Monolith Productions,0.62
Warzone 2100,1999,Teen,Adventure,8.5,46,United Kingdom,Pumpkin Studios,0.62
Dragon Ball Z: Budokai 3,2004,Teen,Fantasy,8.5,646,Japan,FUNimation Entertainment,0.62
Ultima Online,1997,Mature,Fantasy,8.5,105,United States,Electronic Arts (EA),0.61
Poketto Monsutâ Rîfugurîn,2004,Everyone,Fantasy,8.5,921,Japan,Creatures,0.61
Robotech: Invasion,2004,Teen,Sci-Fi,8.5,50,United States,Vicious Cycle Software Inc.,0.6
MegaRace,1994,Not Rated,Sport,8.5,57,France,Cryo Interactive Entertainment,0.6
Myst IV: Revelation,2004,Teen,Mystery,8.5,221,Canada,Ubisoft Montreal,0.6
Rogue Trip: Vacation 2012,1998,Not Rated,Action,8.5,31,United States,SingleTrac Entertainment Technologies Inc.,0.6
Hostile Waters,2001,Not Rated,Sci-Fi,8.5,48,United Kingdom,Rage Software PLC,0.59
Dark Age of Camelot,2001,Not Rated,Fantasy,8.5,44,United States,Mythic Entertainment,0.59
Zeus: Master of Olympus,2000,Not Rated,Adventure,8.5,102,United States,Sierra Entertainment,0.59
Homeworld: Cataclysm,2000,Not Rated,Sci-Fi,8.5,72,United States,Barking Dog Studios,0.58
Nancy Drew: The Secret of Shadow Ranch,2004,Not Rated,Romance,8.5,110,United States,Her Interactive Inc.,0.58
Drakan: Order of the Flame,1999,Not Rated,Fantasy,8.5,70,United States,Surreal Software,0.58
Dûpurizumu,1999,Everyone,Comedy,8.5,54,Japan,Square Company,0.58
Wolfenstein: Enemy Territory,2003,Mature,War,8.5,330,United States,Splash Damage,0.58
Jurassic Park: Operation Genesis,2003,Teen,Family,8.5,384,Australia,Unknown,0.58
Might and Magic VII: For Blood and Honor,1999,Teen,Sci-Fi,8.5,95,United States,New World Computing,0.58
Marathon,1994,Not Rated,Sci-Fi,8.5,84,United States,Bungie Software,0.57
Panzer Dragoon II Zwei,1996,Adults Only,Action,8.5,93,Japan,Team Andromeda,0.57
WWE SmackDown! Here Comes the Pain,2003,Teen,Sport,8.5,618,United States,THQ,0.57
